Chinese (Simpl.),Pinyin,English
凉快,liángkuai,nice and cold; pleasantly cool
亮,liàng,bright; clear; resonant; to shine
聊天,liáotiān,to chat; to gossip
另外,lìngwài,additional; in addition; besides; separate
流泪,liúlèi,to shed tears
流利,liúlì,fluent
流行,liúxíng,(of a contagious disease etc) to spread; to propagate; (of a style of clothing song etc) popular; fashionable
留,liú,to leave (a message etc); to retain; to stay; to remain
留学,liúxué,to study abroad
律师,lǜshī,lawyer
乱,luàn,in confusion or disorder; in a confused state of mind; disorder; upheaval
麻烦,máfan,trouble; inconvenience; inconvenient; troublesome
马虎,mǎhu,careless; sloppy; negligent; skimpy
满,mǎn,full; to fill; filled
毛巾,máojīn,towel
美丽,měilì,beautiful
梦,mèng,dream; (bound form) to dream
密码,mìmǎ,cipher; secret code; password; PIN
免费,miǎnfèi,free (of charge)
民族,mínzú,nationality; ethnic group
母亲,mǔqīn,mother
目的,mùdì,purpose; aim; goal; target
耐心,nàixīn,to be patient; patience
难道,nándào,don't tell me ...; could it be that...?
难受,nánshòu,to feel unwell; to suffer pain; to be difficult to bear
内,nèi,inside; inner; internal; within
内容,nèiróng,content; substance; details
能力,nénglì,capability; ability
年龄,niánlíng,(a person's) age
农村,nóngcūn,rural area; village
弄,nòng,to do; to make; to handle; to play with
暖和,nuǎnhuo,warm; nice and warm
偶尔,ǒuěr,occasionally; once in a while; sometimes
排列,páiliè,to arrange in order; (math.) permutation
判断,pànduàn,to judge; to determine; judgment
陪,péi,to accompany; to keep sb company; to assist
批评,pīpíng,to criticize; criticism
皮肤,pífū,skin
脾气,píqi,character; temperament; disposition; bad temper
篇,piān,(measure word for articles/essays); piece of writing
骗,piàn,to cheat; to swindle; to deceive; to get on (a horse etc) by swinging one leg over
乒乓球,pīngpāngqiú,table tennis; ping-pong; table tennis ball
平时,píngshí,ordinarily; in normal times; in peacetime
瓶子,píngzi,bottle
破,pò,broken; damaged; worn out; lousy
普遍,pǔbiàn,universal; general; widespread; common
其次,qícì,next; secondly
其中,qízhōng,among; in; included among these
起飞,qǐfēi,(of an aircraft) to take off
起来,qǐlai,to stand up; to get up; (after a verb) indicating the beginning and continuation of an action or a state; indicating an upward movement (e.g. after 站)
气候,qìhòu,(meteorology) climate; (fig.) climate; prevailing conditions (in human affairs)
千万,qiānwàn,ten million; countless; many; one must by all means
签证,qiānzhèng,visa; to issue a visa
墙,qiáng,wall
敲,qiāo,to hit; to strike; to tap; to rap
桥,qiáo,bridge
巧克力,qiǎokèlì,chocolate (loanword)
亲戚,qīnqi,a relative (i.e. family relation)
轻,qīng,light; easy; gentle; soft
轻松,qīngsōng,light; gentle; relaxed; effortless
情况,qíngkuàng,circumstances; state of affairs; situation
请假,qǐngjià,to request leave of absence
请客,qǐngkè,to give a dinner party; to entertain guests; to invite to dinner
穷,qióng,poor; destitute; to use up; to exhaust
区别,qūbié,difference; to distinguish; to discriminate; to make a distinction
取,qǔ,to take; to get; to choose; to fetch
全部,quánbù,whole; all
缺点,quēdiǎn,weak point; fault; shortcoming; disadvantage
缺少,quēshǎo,lack; shortage of; shortfall; to be short (of)
却,què,but; yet; however; while
确实,quèshí,indeed; really; reliable; real
群,qún,group; crowd; flock; herd; pack etc
然而,ránér,however; yet; but
热闹,rènao,bustling with noise and excitement; lively
人民币,rénmínbì,Renminbi (RMB); Chinese Yuan (CNY)
任何,rènhé,any; whatever; whichever; whatsoever
任务,rènwu,mission; assignment; task; duty
扔,rēng,to throw; to throw away
仍然,réngrán,still; as before; yet
日记,rìjì,diary
入口,rùkǒu,entrance; to import
软,ruǎn,soft; flexible
散步,sànbù,to take a walk; to go for a walk
森林,sēnlín,forest
沙发,shāfā,sofa (loanword); (Internet slang) the first reply or replier to a forum post
伤心,shāngxīn,to grieve; to be broken-hearted; to feel deeply hurt
商量,shāngliang,to consult; to talk over; to discuss
稍微,shāowēi,a little bit
社会,shèhuì,society
申请,shēnqǐng,to apply for sth; application form
深,shēn,deep (lit. and fig.)
甚至,shènzhì,even; so much so that
生活,shēnghuó,to live; life; livelihood
生命,shēngmìng,life (as the characteristic of living beings); living being; creature
省,shěng,province; to save; to economize; to omit
剩,shèng,to remain; to be left; to have as remainder
失败,shībài,to be defeated; to lose; to fail (e.g. experiments); failure
失望,shīwàng,disappointed; to lose hope; to despair
师傅,shīfu,master; qualified worker; respectful form of address for older men
狮子,shīzi,lion
湿润,shīrùn,moist
十分,shífēn,very; completely; utterly; extremely
实际,shíjì,reality; practice; practical; realistic
实在,shízài,really; actually; indeed; true
食品,shípǐn,foodstuff; food; provisions
