Chinese (Simpl.),Pinyin,English
善于,shànyú,to be good at; to be adept at
伤害,shānghài,to injure; to harm
商务,shāngwù,commercial affairs; commercial; commerce; business
赏,shǎng,to appreciate; to admire; to enjoy; to reward
上个月,shànggèyuè,last month
上楼,shànglóu,to go upstairs
上门,shàngmén,to drop in; to visit; to lock a door; (of a shop) to close
烧,shāo,to burn; to cook; to stew; to bake
设施,shèshī,facilities; installation
设置,shèzhì,to set up; to install
申请,shēnqǐng,to apply for sth; application form
身材,shēncái,stature; build (height and weight); figure
身份,shēnfèn,identity; aspect of one's identity (i.e. sth that one is – mayor father permanent resident etc); role; capacity (as in 'in his capacity as a ...' 以…份)
身高,shēngāo,(a person's) height
深厚,shēnhòu,deep; profound
甚至,shènzhì,even; so much so that
神话,shénhuà,legend; fairy tale; myth; mythology
神秘,shénmì,mysterious; mystery
失败,shībài,to be defeated; to lose; to fail (e.g. experiments); failure
失望,shīwàng,disappointed; to lose hope; to despair
失业,shīyè,unemployment; to lose one's job
诗,shī,poem; poetry; verse
诗人,shīrén,bard; poet
湿,shī,moist; wet
实施,shíshī,to implement; to carry out
实用,shíyòng,practical; functional; pragmatic; applied (science)
食堂,shítáng,dining hall; cafeteria
使劲,shǐjìn,to exert all one's strength
士兵,shìbīng,soldier
市区,shìqū,urban district; downtown; city center
似的,shìde,seems as if; rather like
似乎,sìhū,it seems; seemingly; as if
事物,shìwù,thing; object
事先,shìxiān,in advance; before the event; beforehand; prior
试卷,shìjuàn,examination paper; test paper
是否,shìfǒu,whether (or not); if; is or isn't
收回,shōuhuí,to regain; to retake; to take back; to withdraw
收获,shōuhuò,to harvest; to reap; to gain; crop
收益,shōuyì,earnings; profit
手工,shǒugōng,handwork; manual
手里,shǒulǐ,in hand; (a situation is) in sb's hands
手术,shǒushù,(surgical) operation; surgery
手套,shǒutào,glove; mitten
守,shǒu,to guard; to defend; to keep watch; to abide by the law
首,shǒu,head; chief; first (occasion thing etc); classifier for poems; songs etc
受不了,shòubùliǎo,unbearable; unable to endure; can't stand
售货员,shòuhuòyuán,salesperson
叔叔,shūshu,father's younger brother; uncle
舒适,shūshì,cozy; snug
熟练,shúliàn,practiced; proficient; skilled; skillful
暑假,shǔjià,summer vacation
树林,shùlín,woods; grove
树叶,shùyè,tree leaves
数据,shùjù,data
数码,shùmǎ,number; numerals; figures; digital
刷,shuā,to brush; to paint; to daub; to paste up
刷牙,shuāyá,to brush one's teeth
刷子,shuāzi,brush; scrub
帅,shuài,handsome; smart; commander-in-chief
帅哥,shuàigē,handsome guy; lady-killer; handsome (form of address)
睡着,shuìzháo,to fall asleep
顺序,shùnxù,sequence; order
说不定,shuōbudìng,can't say for sure; maybe
说服,shuōfú,to persuade; to convince; to talk sb over
思考,sīkǎo,to reflect on; to ponder over
松,sōng,pine; loose; to loosen; to relax
松树,sōngshù,pine; pine tree
塑料,sùliào,plastics
塑料袋,sùliàodài,plastic bag
酸,suān,sour; tart; sick at heart; grieved
酸奶,suānnǎi,yogurt
随手,suíshǒu,conveniently; without extra trouble; while doing it; in passing
孙女,sūnnǚ,son's daughter; granddaughter
孙子,sūnzi,grandson; son's son
缩短,suōduǎn,to curtail; to cut down
缩小,suōxiǎo,to reduce; to decrease; to shrink
台阶,táijiē,steps; flight of steps; step (over obstacle); fig. way out of an embarrassing situation
台上,táishàng,on stage
躺,tǎng,to recline; to lie down
套餐,tàocān,set meal; (fig.) product or service package (e.g. for a cell phone subscription)
特价,tèjià,special price
特殊,tèshū,special; particular; unusual; extraordinary
特征,tèzhēng,characteristic; diagnostic property; distinctive feature; trait
提供,tígōng,to offer; to supply; to provide; to furnish
提醒,tíxǐng,to remind; to call attention to; to warn of
体操,tǐcāo,gymnastic; gymnastics
体检,tǐjiǎn,abbr. for 体格检查
体重,tǐzhòng,body weight
替,tì,to substitute for; to take the place of; to replace; for
替代,tìdài,to substitute for; to replace; to supersede
天真,tiānzhēn,naive; innocent; artless
填,tián,to fill or stuff; (of a form etc) to fill in
填空,tiánkòng,to fill a job vacancy; to fill in a blank (e.g. on questionnaire or exam paper)
挑,tiāo,to carry on a shoulder pole; to choose; to pick; to nitpick
挑选,tiāoxuǎn,to choose; to select
挑战,tiǎozhàn,to challenge; challenge
贴,tiē,to stick; to paste; to post (e.g. on a blog); to keep close to
停下,tíngxià,to stop
通知书,tōngzhīshū,written notice
同情,tóngqíng,to sympathize with; sympathy
童话,tónghuà,children's fairy tales
童年,tóngnián,childhood
统计,tǒngjì,statistics; to count; to add up
统一,tǒngyī,to unify; to integrate; unified; integrated
痛快,tòngkuài,delighted; to one's heart's content; straightforward
投,tóu,to cast; to send; to throw oneself (into the river etc); to seek refuge
投入,tóurù,to throw into; to put into; to throw oneself into; to participate in
投诉,tóusù,complaint; to complain; to register a complaint (esp. as a customer)
投资,tóuzī,investment; to invest
透,tòu,(bound form) to penetrate; to seep through; to tell secretly; to leak
透明,tòumíng,transparent; (fig.) transparent; open to scrutiny
图案,túàn,design; pattern
途中,túzhōng,en route
土地,tǔdì,land; soil; territory; local god
推迟,tuīchí,to postpone; to put off; to defer
推销,tuīxiāo,to market; to sell
脱,tuō,to shed; to take off; to escape; to get away from
袜子,wàzi,socks; stockings
外汇,wàihuì,foreign (currency) exchange
外交官,wàijiāoguān,diplomat
外套,wàitào,coat; jacket
弯,wān,to bend; bent; a bend; a turn (in a road etc)
晚点,wǎndiǎn,(of trains etc) late; delayed; behind schedule; light dinner
万一,wànyī,just in case; if by any chance; contingency
王,wáng,king or monarch; best or strongest of its type; grand; great
网络,wǎngluò,Internet; network
网址,wǎngzhǐ,website; web address; URL
微笑,wēixiào,smile; to smile
微信,Wēixìn,Weixin or WeChat (mobile text and voice messaging service developed by Tencent 腾讯)
围巾,wéijīn,scarf; shawl
维持,wéichí,to keep; to maintain; to preserve
维护,wéihù,to defend; to safeguard; to protect; to uphold
维修,wéixiū,maintenance (of equipment); to protect and maintain
尾巴,wěiba,tail; colloquial pr. [yǐ ba]
未必,wèibì,not necessarily; maybe not
未来,wèilái,future; tomorrow; approaching; coming
位于,wèiyú,to be located at; to be situated at; to lie
位置,wèizhi,position; place; seat
味儿,wèir,taste
稳,wěn,settled; steady; stable
稳定,wěndìng,steady; stable; stability; to stabilize
问候,wènhòu,to give one's respects; to send a greeting; (fig.) (coll.) to make offensive reference to (somebody dear to the person to whom one is speaking)
无,wú,not to have; no; none; not
无法,wúfǎ,unable; incapable
无聊,wúliáo,bored; boring; senseless
无论,wúlùn,no matter what or how; regardless of whether...
无数,wúshù,countless; numberless; innumerable
无所谓,wúsuǒwèi,to be indifferent; not to matter; cannot be said to be
无限,wúxiàn,unlimited; unbounded
五颜六色,wǔyánliùsè,multicolored; every color under the sun
误会,wùhuì,to misunderstand; to mistake; misunderstanding
吸,xī,to breathe; to suck in; to absorb; to inhale
吸管,xīguǎn,(drinking) straw; pipette; eyedropper; snorkel
吸收,xīshōu,to absorb; to assimilate; to ingest; to recruit
吸烟,xīyān,to smoke
吸引,xīyǐn,to attract; to appeal to; to fascinate
喜爱,xǐài,to like; to love; to be fond of; favorite
系列,xìliè,series; set
系统,xìtǒng,system
细,xì,thin or slender; finely particulate; thin and soft; fine
细节,xìjié,details; particulars
细致,xìzhì,delicate; fine; careful; meticulous
西瓜,xīguā,watermelon
下个月,xiàgèyuè,next month
下降,xiàjiàng,to decline; to drop; to fall; to go down
下楼,xiàlóu,to go downstairs
下载,xiàzǎi,to download
夏季,xiàjì,summer
鲜,xiān,fresh; delicious; bright (of color)
鲜花,xiānhuā,flower; fresh flowers
鲜明,xiānmíng,bright; clear-cut; distinct
咸,xián,salty
显著,xiǎnzhù,outstanding; notable; remarkable; statistically significant
县,xiàn,county
限制,xiànzhì,to restrict; to limit; to confine; restriction
相处,xiāngchǔ,to be in contact (with sb); to associate; to interact; to get along (well poorly)
相反,xiāngfǎn,opposite; contrary
相片,xiàngpiàn,image; photograph
箱,xiāng,box; trunk; chest
箱子,xiāngzi,suitcase; chest; box; case
想念,xiǎngniàn,to miss; to remember with longing; to long to see again
想象,xiǎngxiàng,to imagine; to envision; imagination
项,xiàng,item; (classifier for tasks); term (in a formula)
项目,xiàngmù,item; project; (sports) event
消化,xiāohuà,to digest (food); (fig.) to absorb (information etc); to assimilate; to process
销售,xiāoshòu,to sell; to market; sales (representative agreement etc)
小吃,xiǎochī,snack; refreshments
小伙子,xiǎohuǒzi,young man; young guy; lad; youngster
小型,xiǎoxíng,small scale; small size
效率,xiàolǜ,efficiency
些,xiē,classifier indicating a small amount or small number greater than 1: some; a few; several
心理,xīnlǐ,psychology; mentality
新郎,xīnláng,bridegroom; groom
新娘,xīnniáng,bride
新鲜,xīnxiān,fresh (experience food etc); freshness; novel; uncommon
新型,xīnxíng,new type; new kind
行业,hángyè,trade; profession; industry; business
形容,xíngróng,to describe; (literary) countenance; appearance
形势,xíngshì,circumstances; situation; terrain
型,xíng,mold; type; style; model
型号,xínghào,model (particular version of a manufactured article); type (product specification in terms of color size etc)
醒,xǐng,to wake up; to be awake; to become aware; to sober up
兴奋,xīngfèn,excited; excitement; (physiology) excitation
兴趣,xìngqù,interest (desire to know about sth); interest (thing in which one is interested); hobby
性质,xìngzhì,nature; characteristic
兄弟,xiōngdì,brothers; younger brother; I; me (humble term used by men in public speech); brotherly
胸部,xiōngbù,chest; bosom
修理,xiūlǐ,to repair; to fix; to prune; to trim
选择,xuǎnzé,to select; to pick; choice; option
学分,xuéfēn,course credit
学年,xuénián,academic year
学时,xuéshí,class hour; period
学术,xuéshù,learning; science; academic
学问,xuéwèn,learning; knowledge
寻找,xúnzhǎo,to seek; to look for
迅速,xùnsù,rapid; speedy; fast
牙,yá,tooth; ivory
牙刷,yáshuā,toothbrush
亚运会,Yàyùnhuì,Asian Games
呀,ya,(particle equivalent to 啊 after a vowel expressing surprise or doubt)
延期,yánqī,to delay; to extend; to postpone; to defer
延续,yánxù,to continue; to go on; to last
延长,yáncháng,to prolong; to extend; to lengthen
严,yán,tight (closely sealed); stern; strict; rigorous
严格,yángé,strict; stringent; tight; rigorous
严重,yánzhòng,grave; serious; severe; critical
研究,yánjiū,research; a study; to research; to look into
研究生,yánjiūshēng,graduate student; postgraduate student; research student
研制,yánzhì,to research and manufacture; to research and to develop
盐,yán,salt
眼镜,yǎnjìng,spectacles; eyeglasses
眼泪,yǎnlèi,tears; crying
眼里,yǎnli,In the eyes
演讲,yǎnjiǎng,lecture; to make a speech
阳台,yángtái,balcony; porch
养成,yǎngchéng,to cultivate; to raise; to form (a habit); to acquire
腰,yāo,waist; lower back; pocket; middle
摇,yáo,to shake; to rock; to row; to crank
药物,yàowù,medicaments; pharmaceuticals; medication; medicine
业余,yèyú,in one's spare time; outside working hours; amateur (historian etc)
叶子,yèzi,leaf; (slang) marijuana
一般来说,yībānláishuō,generally speaking
一律,yīlǜ,same; uniformly; all; without exception
一再,yīzài,repeatedly
一致,yīzhì,unanimous; identical (views or opinions)
医疗,yīliáo,medical treatment
医学,yīxué,medicine; medical science; study of medicine
依靠,yīkào,to rely on sth (for support etc); to depend on
依然,yīrán,still; as before
移,yí,to move; to shift; to change; to alter
移动,yídòng,to move; movement; migration; mobile
移民,yímín,to immigrate; to migrate; emigrant; immigrant
遗产,yíchǎn,heritage; legacy; inheritance; bequest
遗传,yíchuán,heredity; to inherit (a trait); to pass on (to one's offspring)
疑问,yíwèn,question; interrogation; doubt
以及,yǐjí,as well as; too; and
以内,yǐnèi,within; less than
义务,yìwù,duty; obligation; volunteer (work etc)
议论,yìlùn,to comment; to talk about; to discuss; discussion
引,yǐn,to draw (e.g. a bow); to pull; to stretch sth; to extend
引导,yǐndǎo,to guide; to lead (around); to conduct; to boot
引进,yǐnjìn,to recommend; to introduce (from outside)
引起,yǐnqǐ,to give rise to; to lead to; to cause; to arouse
应,yīng,should; ought to; must; to agree (to do sth)
英勇,yīngyǒng,heroic; gallant; valiant
营业,yíngyè,to do business; to trade
赢得,yíngdé,to win; to gain
影子,yǐngzi,shadow; reflection; (fig.) hint; indication
勇敢,yǒnggǎn,brave; courageous
勇气,yǒngqì,courage; valor
用途,yòngtú,use; application
优良,yōuliáng,fine; good; first-rate
优美,yōuměi,graceful; fine; elegant
优秀,yōuxiù,outstanding; excellent
邮局,yóujú,post office
有劲儿,yǒujìnr5,Strength
有趣,yǒuqù,interesting; fascinating; amusing
有限,yǒuxiàn,limited; finite
幼儿园,yòuéryuán,kindergarten; nursery school
于是,yúshì,thereupon; as a result; consequently; thus
语法,yǔfǎ,grammar
语音,yǔyīn,speech sounds; pronunciation; colloquial (rather than literary) pronunciation of a Chinese character; phonetic
玉,yù,jade
玉米,yùmǐ,corn; maize
预测,yùcè,to forecast; to predict
预订,yùdìng,to place an order; to book ahead
遇,yù,to meet; to encounter; to treat; to receive
遇到,yùdào,to meet; to run into; to come across
遇见,yùjiàn,to meet
原料,yuánliào,raw material
原则,yuánzé,principle; doctrine
圆,yuán,circle; round; circular; spherical
圆满,yuánmǎn,satisfactory; consummate; perfect
约会,yuēhuì,appointment; engagement; date; to arrange to meet
月底,yuèdǐ,end of the month
阅读,yuèdú,to read; reading
运动会,yùndònghuì,sports competition
运动员,yùndòngyuán,athlete
运气,yùnqi,luck (good or bad)
运用,yùnyòng,to use; to put to use
再三,zàisān,over and over again; again and again
在乎,zàihu,to care about; equivalent of 在于
在于,zàiyú,to be in; to lie in; to consist in; to depend on
赞成,zànchéng,to approve; to endorse; (literary) to assist
赞赏,zànshǎng,to admire; to praise; to appreciate
赞助,zànzhù,to support; to assist; to sponsor
造型,zàoxíng,to model; to shape; appearance; style
战斗,zhàndòu,to fight; to engage in combat; struggle; battle
战胜,zhànshèng,to prevail over; to defeat; to surmount
战士,zhànshì,fighter; soldier; warrior
战争,zhànzhēng,war; conflict
长途,chángtú,long distance
丈夫,zhàngfu,husband
招呼,zhāohu,to call out to; to greet; to say hello to; to inform
召开,zhàokāi,to convene (a conference or meeting); to convoke; to call together
折,zhé,to fold; to break; discount (打折); (shé) to snap
着火,zháohuǒ,to catch fire
着急,zháojí,to worry; to feel anxious; to feel a sense of urgency; to be in a hurry
著名,zhùmíng,famous; noted; well-known; celebrated
著作,zhùzuò,(written) work; book; writings
针,zhēn,needle; pin; injection; stitch
针对,zhēnduì,to target; to focus on; to be aimed at or against; in response to
阵,zhèn,classifier for a burst/spell (of wind etc); battle formation
争论,zhēnglùn,to argue; to debate; to contend; argument
征服,zhēngfú,to conquer; to subdue; to vanquish
征求,zhēngqiú,to solicit; to seek; to request (opinions feedback etc); to petition
政府,zhèngfǔ,government
政治,zhèngzhì,politics; political
之后,zhīhòu,after; behind; (at the beginning of a sentence) afterwards; since then
之间,zhījiān,(after a noun) between; among; amid; (used after certain bisyllabic words to form expressions indicating a short period of time e.g. 弹指之间)
之前,zhīqián,before; prior to; ago; previously
之一,zhīyī,one of (sth); one out of a multitude; one (third quarter percent etc)
植物,zhíwù,plant; vegetation
指挥,zhǐhuī,to conduct; to command; to direct; conductor (of an orchestra)
制订,zhìdìng,to work out; to formulate
治,zhì,to treat (illness); to cure; to govern; to manage
治疗,zhìliáo,to treat (an illness); medical treatment; therapy
质量,zhìliàng,quality; (physics) mass
智力,zhìlì,intelligence; intellect
智能,zhìnéng,intelligent; able; smart (phone system bomb etc)
中奖,zhòngjiǎng,to win a prize (in a lottery etc)
中介,zhōngjiè,to act as intermediary; to link; intermediate; inter-
种类,zhǒnglèi,kind; genus; type; category
种植,zhòngzhí,to plant; to grow (a crop); to cultivate
重量,zhòngliàng,weight
逐步,zhúbù,progressively; step by step
逐渐,zhújiàn,gradually
主题,zhǔtí,theme; subject
主席,zhǔxí,chairperson; premier; chairman
祝福,zhùfú,blessings; to wish sb well
抓紧,zhuājǐn,to keep a firm grip on; to pay close attention to; to lose no time in (doing sth)
专心,zhuānxīn,to focus one's attention; to concentrate on (doing sth)
转动,zhuǎndòng,to turn sth around; to swivel; to rotate (about an axis); to revolve
转告,zhuǎngào,to pass on; to communicate; to transmit
转身,zhuǎnshēn,(of a person) to turn round; to face about; (of a widow) to remarry (archaic)
转弯,zhuǎnwān,to turn; to go around a corner
转移,zhuǎnyí,to shift; to relocate; to transfer; (fig.) to shift (attention)
装修,zhuāngxiū,to decorate; interior decoration; to fit up; to renovate
装置,zhuāngzhì,to install; installation; equipment; system
追求,zhuīqiú,to pursue (a goal etc) stubbornly; to seek after; to woo
准时,zhǔnshí,on time; punctual; on schedule
资料,zīliào,material; resources; data; information
资源,zīyuán,resource; natural resource
字母,zìmǔ,letter (of the alphabet)
自,zì,self; oneself; from; since
自信,zìxìn,to have confidence in oneself; self-confidence
综合,zōnghé,comprehensive; composite; synthesized; mixed
总共,zǒnggòng,altogether; in sum; in all; in total
总理,zǒnglǐ,premier; prime minister
总统,zǒngtǒng,president (of a country)
总之,zǒngzhī,in a word; in short; in brief
阻止,zǔzhǐ,to prevent; to block
嘴巴,zuǐba,mouth; slap in the face
最初,zuìchū,first; primary; initial; original
作出,zuòchū,to put out; to come up with; to make (a choice decision proposal response comment etc); to issue (a permit statement explanation apology reassurance to the public etc)
作为,zuòwéi,one's conduct; deed; activity; accomplishment
做梦,zuòmèng,to dream; to have a dream; fig. illusion; fantasy
