Chinese (Simpl.),Pinyin,English
石头,shítou,stone
石油,shíyóu,oil; petroleum
时,shí,o'clock; time; when; hour
时代,shídài,era; age; times
时刻,shíkè,time; juncture; moment; period of time
实际上,shíjìshàng,in fact; in reality; as a matter of fact; in practice
实力,shílì,strength
实行,shíxíng,to implement; to carry out; to put into practice
实验,shíyàn,experiment; test; experimental; to experiment
实验室,shíyànshì,laboratory
食品,shípǐn,foodstuff; food; provisions
使,shǐ,to make; to cause; to enable; to use
始终,shǐzhōng,from beginning to end; all along
世纪,shìjì,century
世界,shìjiè,world
世界杯,Shìjièbēi,World Cup
市场,shìchǎng,marketplace; market (also in abstract)
事故,shìgù,accident
事件,shìjiàn,event; happening; incident
事实,shìshí,fact
事实上,shìshíshàng,in fact; in reality; actually; as a matter of fact
事业,shìyè,undertaking; project; activity; (charitable political or revolutionary) cause
试题,shìtí,exam question; test topic
试验,shìyàn,experiment; test; to experiment; experimental
室,shì,room; work unit; grave; scabbard
适合,shìhé,to fit; to suit
适应,shìyìng,to adapt; to fit; to suit
适用,shìyòng,to be applicable
收费,shōufèi,to charge a fee
收看,shōukàn,to watch (a TV program)
收听,shōutīng,to listen to (a radio broadcast)
收音机,shōuyīnjī,radio
手续,shǒuxù,procedure; formalities
手指,shǒuzhǐ,finger
首都,shǒudū,capital (city)
首先,shǒuxiān,first (of all); in the first place
受,shòu,to receive; to accept; to suffer; subjected to
受伤,shòushāng,to sustain injuries; wounded (in an accident etc); harmed
书架,shūjià,bookshelf
输,shū,to lose; to be beaten; (bound form) to transport; (literary) to donate
输入,shūrù,to import; to input
熟人,shúrén,acquaintance; friend
属,shǔ,category; genus (taxonomy); family members; dependents
属于,shǔyú,to be classified as; to belong to; to be part of
束,shù,to bind; bunch; bundle; classifier for bunches; bundles; beams of light etc
数量,shùliàng,amount; quantity; quantitative
双,shuāng,two; double; pair; both
双方,shuāngfāng,bilateral; both sides; both parties involved
思想,sīxiǎng,thought; thinking; idea; ideology
死,sǐ,to die; impassable; uncrossable; inflexible
速度,sùdù,speed; rate; velocity; (music) tempo
随,suí,to follow; to comply with; varying according to...; to allow
所,suǒ,place; classifier for buildings/institutions; (particle) that which
所长,suǒcháng,what one is good at; head of an institute etc
台,tái,platform; stage; (measure word for machines/appliances)
谈,tán,to speak; to talk; to converse; to chat
谈话,tánhuà,to talk (with sb); to have a conversation; talk; conversation
谈判,tánpàn,to negotiate; negotiation; talks; conference
汤,tāng,soup; broth
糖,táng,sugar; sweets; candy
特色,tèsè,characteristic; distinguishing feature or quality
提前,tíqián,to shift to an earlier date; to do sth ahead of time; in advance
提问,tíwèn,to question; to quiz; to grill
题目,tímù,subject; title; topic
体会,tǐhuì,to know from experience; to learn through experience; to realize; understanding
体现,tǐxiàn,to embody; to reflect; to incarnate
体验,tǐyàn,to experience for oneself
天空,tiānkōng,sky
甜,tián,sweet
跳,tiào,to jump; to hop; to skip over; to bounce
跳高,tiàogāo,high jump (athletics)
跳舞,tiàowǔ,to dance
跳远,tiàoyuǎn,long jump (athletics)
铁,tiě,iron (metal); arms; weapons; hard
铁路,tiělù,railroad; railway
听力,tīnglì,hearing; listening ability
听众,tīngzhòng,audience; listeners
停止,tíngzhǐ,to stop; to halt; to cease
通常,tōngcháng,regular; usual; normal; usually
通信,tōngxìn,to correspond (by letter etc); to communicate; communication
同意,tóngyì,to agree; to consent; to approve
痛,tòng,ache; pain; sorrow; deeply
痛苦,tòngkǔ,pain; suffering; painful
头脑,tóunǎo,brains; mind; skull; (fig.) gist (of a matter)
突出,tūchū,prominent; outstanding; to give prominence to; to protrude
突然,tūrán,sudden; abrupt; unexpected
图,tú,diagram; picture; drawing; chart
图画,túhuà,drawing; picture
土,tǔ,earth; soil; dust
团,tuán,round; lump; ball; to roll into a ball
团结,tuánjié,to unite; unity; solidarity; united
团体,tuántǐ,group; organization; team
推动,tuīdòng,to push (e.g. for acceptance of a plan); to promote; to give impetus to
推广,tuīguǎng,to extend; to spread; to popularize; generalization
推进,tuījìn,to impel; to carry forward; to push on; to advance
推开,tuīkāi,to push open (a gate etc); to push away; to reject; to decline
退,tuì,to retreat; to withdraw; to reject; to return (sth)
退出,tuìchū,to withdraw; to abort; to quit; to log out (computing)
退休,tuìxiū,to retire (from the workforce); to go into retirement
外交,wàijiāo,diplomacy; diplomatic; foreign affairs
外面,wàimiàn,outside (also pr. [wài mian] for this sense); surface; exterior; external appearance
外文,wàiwén,foreign language (written)
完美,wánměi,perfect
完善,wánshàn,(of systems facilities etc) comprehensive; well-developed; excellent; to refine
完整,wánzhěng,complete; intact
玩具,wánjù,plaything; toy
往往,wǎngwǎng,usually; in many cases; more often than not
危害,wēihài,to jeopardize; to harm; to endanger; harmful effect
危险,wēixiǎn,danger; dangerous
围,wéi,to encircle; to surround; all around; to wear by wrapping around (scarf shawl)
伟大,wěidà,huge; great; grand; worthy of the greatest admiration
卫生,wèishēng,health; hygiene; sanitation
卫生间,wèishēngjiān,bathroom; toilet; WC
为了,wèile,for; for the purpose of; in order to
温暖,wēnnuǎn,warm
文化,wénhuà,culture; civilization; cultural
文件,wénjiàn,document; file
文明,wénmíng,civilized; civilization; culture
文学,wénxué,literature
文章,wénzhāng,article; essay; literary works; writings
文字,wénzì,character; script; writing; written language
握手,wòshǒu,to shake hands
屋子,wūzi,house; room
武器,wǔqì,weapon; arms
武术,wǔshù,military skill or technique (in former times); all kinds of martial art sports (some claiming spiritual development); self-defense; tradition of choreographed fights from opera and film (recent usage)
舞台,wǔtái,(lit. and fig.) stage; arena
希望,xīwàng,to hope; a hope; a wish
系,xì,to connect; to relate to; to tie up; to bind
西部,xībù,western part
下来,xiàlai,to come down; (completed action marker); (after verb of motion indicates motion down and towards us also fig.); (indicates continuation from the past towards us)
下面,xiàmiàn,below; under; next; the following
下去,xiàqù,to go down; to descend; to go on; to continue
先进,xiānjìn,advanced (technology); to advance
显得,xiǎnde,to seem; to look; to appear
显然,xiǎnrán,clearly; evidently; obviously
显示,xiǎnshì,to show; to illustrate; to display; to demonstrate
现场,xiànchǎng,the scene (of a crime accident etc); (on) the spot; (at) the site
现代,xiàndài,modern times; modern age; contemporary
现代化,xiàndàihuà,modernization
现金,xiànjīn,cash
现实,xiànshí,reality; actuality; real; actual
现象,xiànxiàng,phenomenon; appearance
线,xiàn,thread; string; wire; line
相比,xiāngbǐ,to compare
相当,xiāngdāng,equivalent to; appropriate; considerably; to a certain extent
相关,xiāngguān,related; relevant; pertinent; to be interrelated
相互,xiānghù,each other; mutual
相似,xiāngsì,similar; alike
香,xiāng,fragrant; sweet smelling; aromatic; savory or appetizing
香蕉,xiāngjiāo,banana
消费,xiāofèi,to consume; to spend
消失,xiāoshī,to disappear; to fade away
消息,xiāoxi,news; information
效果,xiàoguǒ,result; effect; efficacy; (theater) sound or visual effects
写作,xiězuò,to write; to compose; writing; written works
心,xīn,heart; mind; intention; center
信封,xìnfēng,envelope
信任,xìnrèn,to trust; to have confidence in
行李,xíngli,luggage
形成,xíngchéng,to form; to take shape
形式,xíngshì,outer appearance; form; shape; formality
形象,xíngxiàng,image; form; figure; visualization
形状,xíngzhuàng,form; shape
幸福,xìngfú,happiness; happy; blessed
幸运,xìngyùn,fortunate; lucky; fortune; luck
性,xìng,nature; character; property; quality
性别,xìngbié,gender; sex
性格,xìnggé,nature; disposition; temperament; character
修,xiū,to repair; to fix; to build
修改,xiūgǎi,to amend; to alter; to modify
需求,xūqiú,requirement; to require; (economics) demand
需要,xūyào,to need; to want; to demand; to require
宣布,xuānbù,to declare; to announce; to proclaim
宣传,xuānchuán,to disseminate; to give publicity to; propaganda
选手,xuǎnshǒu,athlete; contestant
学费,xuéfèi,tuition fee; tuition
血,xuè,blood; colloquial pr. [xiě]
训练,xùnliàn,to train; to drill; training
压,yā,to press; to push down; to keep under (control); pressure
压力,yālì,pressure
烟,yān,cigarette or pipe tobacco; smoke; mist; vapour
眼前,yǎnqián,before one's eyes; now; at present
演,yǎn,to perform; to act; to develop
演唱,yǎnchàng,sung performance; to sing for an audience
演唱会,yǎnchànghuì,vocal recital or concert
演出,yǎnchū,to act (in a play); to perform; to put on (a performance); performance
演员,yǎnyuán,actor or actress; performer
羊,yáng,sheep; goat
阳光,yángguāng,sunshine; (of personality) upbeat; energetic; transparent (open to public scrutiny)
要是,yàoshi,(coll.) if
一方面,yīfāngmiàn,on the one hand
一切,yīqiè,everything; every; all
衣架,yījià,clothes hanger; clothes rack
已,yǐ,already; to stop; then; afterwards
以来,yǐlái,since (a previous event)
艺术,yìshù,art
意外,yìwài,unexpected; accident; mishap
意义,yìyì,sense; meaning; significance; importance
因此,yīncǐ,thus; consequently; as a result
银,yín,silver; silver-colored; relating to money or currency
银牌,yínpái,silver medal
印象,yìnxiàng,impression (sth that stays in one's mind); a memory
应当,yīngdāng,should; ought to
应用,yìngyòng,to put to use; to apply; practical; applied (science linguistics etc)
迎接,yíngjiē,to welcome; to greet
营养,yíngyǎng,nutrition; nourishment
赢,yíng,to beat; to win; to profit
影视,yǐngshì,movies and television
优点,yōudiǎn,merit; benefit; strong point; advantage
优势,yōushì,superiority; dominance; advantage
由,yóu,to follow; from; because of; due to
由于,yóuyú,due to; as a result of; thanks to; owing to
邮件,yóujiàn,mail; post; email
邮票,yóupiào,(postage) stamp
邮箱,yóuxiāng,mailbox; post office box; email; email inbox
游,yóu,to swim; to walk; to tour; to roam
游戏,yóuxì,game; to play
游泳,yóuyǒng,swimming; to swim
有的是,yǒudeshì,have plenty of; there's no lack of
有利,yǒulì,advantageous; favorable
有效,yǒuxiào,effective; in effect; valid
预报,yùbào,forecast
预防,yùfáng,to prevent; to take precautions against; to protect; to guard against
预计,yùjì,to forecast; to predict; to estimate
预习,yùxí,to prepare a lesson
员,yuán,person; employee; member
员工,yuángōng,staff; personnel; employee
愿望,yuànwàng,desire; wish
约,yuē,to make an appointment; approximately; to invite
运输,yùnshū,to transport; to carry; transportation
杂志,zázhì,magazine
早已,zǎoyǐ,for a long time; long since; (dialect) in the past
造,zào,to make; to build; to manufacture; to invent
造成,zàochéng,to bring about; to create; to cause
责任,zérèn,responsibility; blame; duty
增加,zēngjiā,to raise; to increase
增长,zēngzhǎng,to grow; to increase
展开,zhǎnkāi,to unfold; to spread out; to open up; to launch
张,zhāng,(measure word for flat objects); to open; to spread
长城,Chángchéng,the Great Wall
长处,chángchù,good aspects; strong points
长期,chángqī,long term; long time; long range (of a forecast)
照,zhào,to shine; to illuminate; according to; in accordance with
者,zhě,(after a verb or adjective) one who (is) ...; (after a noun) person involved in ...; -er; -ist
真实,zhēnshí,true; real
争,zhēng,to strive for; to vie for; to argue or debate; deficient or lacking (dialect)
争取,zhēngqǔ,to fight for; to strive for; to win over
整,zhěng,exactly; in good order; whole; complete
整个,zhěnggè,whole; entire; total
整理,zhěnglǐ,to arrange; to tidy up; to sort out; to straighten out
整齐,zhěngqí,orderly; neat; even; tidy
整体,zhěngtǐ,whole entity; entire body; synthesis; as a whole (situation construction team etc)
整天,zhěngtiān,all day long; whole day
整整,zhěngzhěng,whole; full
正式,zhèngshì,formal; official
证,zhèng,certificate; proof; to prove
证件,zhèngjiàn,certificate; papers; credentials; document
证据,zhèngjù,evidence; proof; testimony
证明,zhèngmíng,proof; certificate; identification; testimonial
支,zhī,to support; to sustain; to erect; to raise
支持,zhīchí,to be in favor of; to support; to back; support
支付,zhīfù,to pay (money)
直,zhí,straight; to straighten; direct
直播,zhíbō,(TV radio) to broadcast live; live broadcast; (Internet) to livestream; (agriculture) direct seeding
直到,zhídào,until
值,zhí,value; (to be) worth; to happen to; to be on duty
值得,zhíde,to be worth; to deserve
职工,zhígōng,workers; staff
职业,zhíyè,occupation; profession; vocation; professional
只好,zhǐhǎo,to have no other option but to ...; to have to; to be forced to
只是,zhǐshì,merely; only; just; nothing but
只有,zhǐyǒu,only have ...; there is only ...; (used in combination with 才) it is only if one ... (that one can ...) (Example: 只有通过治疗才能痊愈 'the only way to cure it is with therapy'); it is only ... (who ...) (Example: 要 'only men would have such a requirement')
指,zhǐ,finger; to point at or to; to indicate or refer to; to depend on
指出,zhǐchū,to indicate; to point out
指导,zhǐdǎo,to guide; to give directions; to direct; to coach
至今,zhìjīn,so far; to this day; until now
至少,zhìshǎo,at least; (to say the) least
志愿,zhìyuàn,aspiration; ambition; to volunteer
志愿者,zhìyuànzhě,volunteer
制定,zhìdìng,to draw up; to formulate
制度,zhìdù,system (e.g. political adminstrative etc); institution
制造,zhìzào,to manufacture; to make
制作,zhìzuò,to make; to manufacture
中部,zhōngbù,middle part; central section
中华民族,Zhōnghuámínzú,the Chinese nation; the Chinese people (collective reference to all the ethnic groups in China)
终于,zhōngyú,at last; in the end; finally; eventually
钟,zhōng,clock; bell; o'clock
种,zhǒng,seed; species; kind; type
种子,zhǒngzi,seed
重大,zhòngdà,great; important; major; significant
周围,zhōuwéi,environs; surroundings; periphery
猪,zhū,hog; pig; swine
主持,zhǔchí,to take charge of; to manage or direct; to preside over; to uphold
主动,zhǔdòng,to take the initiative; to do sth of one's own accord; spontaneous; active
主任,zhǔrèn,director; head
主意,zhǔyi,plan; idea; decision; Beijing pr. [zhú yi]
主张,zhǔzhāng,to advocate; to stand for; view; position
注意,zhùyì,to take note of; to pay attention to
祝,zhù,to wish (sb well); to express good wishes
抓,zhuā,to grab; to catch; to arrest; to snatch
抓住,zhuāzhù,to grab hold of; to capture
专家,zhuānjiā,expert; specialist
专门,zhuānmén,specialist; specialized; customized
专题,zhuāntí,specific topic (addressed by a book lecture TV program etc); article; report or program etc on a specific topic
专业,zhuānyè,specialty; specialized field; main field of study (at university); major
转,zhuǎn,to turn; to change direction; to transfer
转变,zhuǎnbiàn,to change; to transform; shift; transformation
状况,zhuàngkuàng,condition; state; situation
状态,zhuàngtài,condition; state; state of affairs
追,zhuī,to chase; to pursue; to seek after
准,zhǔn,to allow; to grant; in accordance with; in the light of
资格,zīgé,qualifications; seniority
资金,zījīn,funds; capital
自从,zìcóng,since (a time); ever since
自动,zìdòng,automatic; voluntarily
自觉,zìjué,conscious; aware; on one's own initiative; conscientious
自然,zìrán,nature; natural; naturally
自身,zìshēn,itself; oneself; one's own
自主,zìzhǔ,independent; to act for oneself; autonomous
子女,zǐnǚ,children; sons and daughters
总,zǒng,general; overall; to sum up; in every case
总结,zǒngjié,to sum up; to conclude; summary; résumé
总是,zǒngshì,always
足够,zúgòu,enough; sufficient
足球,zúqiú,soccer ball; a football; soccer; football
组合,zǔhé,to assemble; to combine; to compose; combination
左右,zuǒyòu,left and right; nearby; approximately; attendant
作品,zuòpǐn,work (of art); opus
作者,zuòzhě,author; writer
做客,zuòkè,to be a guest or visitor
